Time:21:41:3:524  [159] 0 60.816,-141.001,89.725,-126.728,-76.608,-23.996,0.000,0.000,0.000
Time:21:41:3:599  [160] 0
Time:21:41:3:622  [161] 0
Time:21:41:9:827  [159] Robot.WhereAngle 1
Time:21:41:9:831  [160] RopeEncLoc=49.175,-119.484,60.341,-135.426,-60.258,-5.628
Time:21:41:9:833  [161] Move.Joint RopeEncLoc
Time:21:41:11:682  [161] 1
Time:21:41:21:702  [162] 0 49.173,-119.485,60.340,-135.425,-60.259,-5.628,0.000,0.000,0.000
Time:21:41:21:786  [163] 0
Time:21:41:21:809  [164] 0
Time:21:41:28:107  [162] Robot.WhereAngle 1
Time:21:41:28:111  [163] RopeEncLoc=43.859,-103.850,26.784,-123.888,-44.840,10.738
Time:21:41:28:115  [164] Move.Joint RopeEncLoc
Time:21:41:30:246  [164] 1
Time:21:41:40:246  [165] 0 43.856,-103.852,26.785,-123.886,-44.839,10.737,0.000,0.000,0.000
Time:21:41:40:317  [166] 0
Time:21:41:40:333  [167] 0
Time:21:41:46:396  [165] Robot.WhereAngle 1
Time:21:41:46:401  [166] RopeEncLoc=11.262,-91.462,-4.062,-119.010,-28.093,24.439
Time:21:41:46:404  [167] Move.Joint RopeEncLoc
Time:21:41:48:683  [167] 1
Time:21:41:58:696  [168] 0 11.260,-91.461,-4.060,-119.008,-28.094,24.438,0.000,0.000,0.000
Time:21:41:58:794  [169] 0
Time:21:41:58:815  [170] 0
Time:21:42:4:695  [168] Robot.WhereAngle 1
Time:21:42:5:204  [169] RopeEncLoc=-12.434,-83.197,-27.489,-130.500,-4.462,34.901
Time:21:42:5:205  [170] Move.Joint RopeEncLoc
Time:21:42:6:315  [170] 1
Time:21:42:16:313  [171] 0 -12.436,-83.197,-27.488,-130.500,-4.463,34.900,0.000,0.000,0.000
Time:21:42:16:412  [172] 0
Time:21:42:16:434  [173] 0
Time:21:42:22:481  [171] Robot.WhereAngle 1
Time:21:42:22:483  [172] RopeEncLoc=-8.332,-76.770,-45.970,-85.871,7.400,53.630
Time:21:42:22:485  [173] Move.Joint RopeEncLoc
Time:21:42:25:891  [173] 1
Time:21:42:35:935  [174] 0 -8.331,-76.770,-45.971,-85.870,7.401,53.629,0.000,0.000,0.000
Time:21:42:36:17  [175] 0
Time:21:42:36:33  [176] 0
Time:21:42:42:303  [174] Robot.WhereAngle 1
