build,HE3-V3-V1-ANALYTIC-20260819-R3
status,1
iterations,7
active_count,7
rank,7
condition,2824.67484078899
mae_before_mm,89.8375133076365
mae_after_mm,3.75094851592724
max_before_mm,138.2145993777
max_after_mm,19.8233521186433
result_slot,value_before_gui_unit_conversion
0,0
1,0
2,6e-07
3,-0.0722572023167409
4,0.333302556939515
5,-0.00442586401024683
6,-0
7,-2.0637850217214
8,-10.9101010359751
9,-2.17452085993669
10,-30.3966362253443
11,-0
point,rope_raw_mm,rope_with_fixed_offset_mm,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,q7_rad,residual_before_mm,residual_after_mm
40,826.805643,889.305643,-0.726598008503333,-0.185127070601111,0.886138552706667,-1.47930614217111,1.26302494495333,0.336202768076667,-1.35037867252556,-130.612042447003,-3.65325778511505
41,818.326665,880.826665,-0.63507294409,-0.239162463321111,0.845507288413333,-1.46010752072667,1.18197185587333,0.336185314784444,-1.28639490323889,-126.698267249919,0.188312156077841
42,810.661894,873.161894,-0.59391808103,-0.270264230061111,0.824807683837778,-1.44448682418778,1.06712919305111,0.329814863123333,-1.21584869607667,-117.135058597689,1.11782761125967
43,809.300204,871.800204,-0.549045666726667,-0.288572733602222,0.807022779063333,-1.44967045197778,1.00345958302444,0.402246025845556,-1.13439418127556,-116.488634034938,-2.05162158327832
44,794.851548,857.351548,-0.523371873867778,-0.320547164953333,0.772761966431111,-1.43738333425333,0.994837656666667,0.425441451208889,-1.07423268298556,-122.120126577658,-3.38324445841331
45,800.561522,863.061522,-0.457747495112222,-0.344405815421111,0.738832766351111,-1.44528967563,0.967540707631111,0.458655066307778,-1.02895884296111,-122.528682212061,-2.1113478207454
46,798.315435,860.815435,-0.416208659623333,-0.368089932966667,0.722496484831111,-1.43078598979333,0.922703199912222,0.48569021596,-0.952897395456667,-121.112594592017,-2.73308054904353
47,788.776585,851.276585,-0.350427201237778,-0.450556738716667,0.702180852684444,-1.39195241459889,0.874497206794444,0.532726838498889,-0.842819481411111,-126.43571681959,-1.25888016032893
48,778.370885,840.870885,-0.289794464057778,-0.509164893998889,0.668077119682222,-1.34428747354,0.83424991493,0.591020834521111,-0.759410197881111,-132.409704946689,-3.63779587151347
49,773.303152,835.803152,-0.17451546893,-0.59973002734,0.495621139234444,-1.31194652305222,0.766758033906667,0.650955440012222,-0.62627648481,-138.2145993777,-10.7074533952719
50,884.315996,946.815996,0.0698480754733333,-0.658704701758889,0.365489392425556,-1.38345266128667,0.674133412083333,0.738989845981111,-0.266110346512222,-109.377523751165,-0.445556745087505
51,788.106268,850.606268,-0.719302532354444,-0.316881973586667,0.766426421354444,-1.54021813202667,1.09302987870889,0.256022343607778,-1.37219528780333,-129.64808408618,3.88446781133522
52,784.00365,846.50365,-0.681114728972222,-0.351910731076667,0.748536796826667,-1.52627295154111,0.979304226588889,0.231587734496667,-1.29187523699667,-119.130610371396,6.54699583127538
53,785.523268,848.023268,-0.641164143075555,-0.369695635851111,0.732357594936667,-1.54466872154333,0.913924193924444,0.323060439033333,-1.22639048457889,-119.649361527587,1.96217766936069
54,769.986664,832.486664,-0.61748002553,-0.406975868037778,0.682650618687778,-1.52028647230889,0.914220899892222,0.335033397497778,-1.16031232022556,-124.681414386118,1.31338490112554
55,778.704289,841.204289,-0.548975853557778,-0.446141055784444,0.660153325013333,-1.52269502663556,0.886976310733333,0.368543718564444,-1.10348440075,-123.534673610319,4.25493839826674
56,777.504036,840.004036,-0.496109831416667,-0.455304034201111,0.626939709914444,-1.50609694573222,0.830427643933333,0.385752664695556,-1.03820908783889,-118.8446065614,2.57785490884477
57,783.07363,845.57363,-0.446123602492222,-0.524663417492222,0.621982974923333,-1.49361784179333,0.798680105381111,0.441358853715556,-0.930417555074444,-120.53338386709,4.64220180915642
58,781.403102,843.903102,-0.371563138118889,-0.605995759247778,0.592643990697778,-1.43652812293444,0.739722884254444,0.49040260486,-0.841964270092222,-121.695173515381,4.01633197880691
59,785.828595,848.328595,-0.270997268334444,-0.684413401202222,0.406748975238889,-1.40718913870889,0.674081052206667,0.562013462847778,-0.705968217096667,-120.569794453809,-4.48419540124612
60,890.829648,953.329648,-0.0186226628011111,-0.741485666768889,0.272568064634444,-1.47115545470333,0.583027226683333,0.670450767424444,-0.355383936228889,-89.6305995915697,1.17354912732304
